IATA,ICAO,Name,Country,Active
,GNL,135 Airways,United States,N
1T,RNX,1Time Airline,South Africa,Y
,WYT,2 Sqn No 1 Elementary Flying Training School,United Kingdom,N
,TFU,213 Flight Unit,Russia,N
,CHD,223 Flight Unit State Airline,Russia,N
,TTF,224th Flight Unit,Russia,N
,TWF,247 Jet Ltd,United Kingdom,N
,SEC,3D Aviation,United States,N
Q5,MLA,40-Mile Air,United States,Y
,QRT,4D Air,Thailand,N
,THD,611897 Alberta Limited,Canada,N
AN,AAA,Ansett Australia,Australia,Y
1B,,Abacus International,Singapore,Y
W9,AAB,Abelag Aviation,Belgium,N
,AAC,Army Air Corps,United Kingdom,N
,AAD,Aero Aviation Centre Ltd.,Canada,N
,SII,Aero Servicios Ejecutivos Internacionales,Mexico,N
,BZS,Aero Biniza,Mexico,N
,ABM,Aero Albatros,Spain,N
ZI,AAF,Aigle Azur,France,Y
AQ,AAH,Aloha Airlines,United States,Y
,AAK,Alaska Island Air,United States,N
AA,AAL,American Airlines,United States,Y
,AAM,Aviation Management Corporation,United States,N
,AAO,Atlantis Airlines (USA),United States,N
,AAP,Aerovista Airlines,United Arab Emirates,N
OZ,AAR,Asiana Airlines,Republic of Korea,Y
4K,AAS,Askari Aviation,Pakistan,Y
,AAU,Australia Asia Airlines,Australia,N
,AAV,Astro Air International,United States,N
8U,AAW,Afriqiyah Airways,Libya,Y
Q9,AFU,Afrinat International Airlines,Gambia,N
,AAX,Afric'air Express,Ivory Coast,N
G4,AAY,Allegiant Air,United States,Y
,AAZ,Angus Aviation,Canada,N
,ABA,Artem-Avia,Ukraine,N
,ABB,African Business and Transportations,Democratic Republic of the Congo,N
K5,ABE,Aban Air,Iran,n
,ABF,Aerial Oy,Finland,N
,ABG,Abakan-Avia,Russia,N
M3,TUS,ABSA - Aerolinhas Brasileiras,Brazil,Y
,ABJ,Abaet,Brazil,N
,ABK,Alberta Citylink,Canada,N
,ABO,APSA Colombia,Colombia,N
,ABU,Aerovias Bueno,Colombia,N
,ACR,Aerocenter,AEROCENTER,N
04,ABV,Antrak Air,Ghana,N
GB,ABX,Airborne Express,United States,N
GB,ABX,ABX Air,United States,N
,ABZ,ATA Brasil,Brazil,N
,ACC,Avcard Services,United Kingdom,N
,ACD,Academy Airlines,United States,N
,ACO,Aero Comondu,Mexico,N
8V,ACP,Astral Aviation,Kenya,Y
,ACS,Air Cess,Liberia,N
,AAI,Air Aurora,United States,N
,ACU,Air Cargo Transportation System,Kenya,N
,ACV,Air Charter Service,United Kingdom,N
E4,RSO,Aero Asia International,Pakistan,N
,ACX,Air Charters,Canada,N
YT,TGA,Air Togo,Togo,N
,RSM,Air Somalia,Somali Republic,N
,ACY,Atlas Cargo Lines,Morocco,N
,ADA,Airservices Australia,Australia,N
4G,,Advance Leasing Company,United States,N
7A,,Aztec Worldwide Airlines,United States,N
8T,,Air Tindi,Canadian Territories,Y
,ADB,Antonov Airlines,Ukraine,N
,ADC,Air Atlantic Dominicana,Dominican Republic,N
,ADD,Advanced Air Co.,Japan,N
ZY,ADE,Ada Air,Albania,Y
,ADG,Aerea Flying Training Organization,Spain,N
,ADI,Audeli Air,Spain,N
,ADJ,Abicar,Ivory Coast,N
Z7,ADK,ADC Airlines,Nigeria,N
,ADL,Aero Dynamics,United Kingdom,N
,ADM,Aerolineas Dominicanas,Dominican Republic,N
,ADN,Aerodienst GmbH,Germany,N
,ADP,Aerodiplomatic,Mexico,N
,ADY,Aerodyne,United States,N
,ADQ,Avion Taxi,Canada,N
JP,ADR,Adria Airways,Slovenia,Y
,ADS,Aviones de Sonora,Mexico,N
,ADT,Air Dorval,Canada,N
,ADU,Airdeal Oy,Finland,N
,ADV,Advance Air Charters,Canada,N
,ADW,Air Andaman,Thailand,N
,ADX,Anderson Aviation,United States,N
UX,AEA,Air Europa,Spain,Y
,ASW,Air Southwest Ltd.,Canada,N
,ASX,Air Special,Czech Republic,N
EM,AEB,Aero Benin,Benin,Y
,AEC,Aerocesar,AEROCESAR,N
,AED,Aerotrans Airlines,Russia,N
A3,AEE,Aegean Airlines,Greece,Y
,AEG,Aerofumigaciones Sam,Chile,N
