IATA,ICAO,Name,City,Country,Latitude,Longitude
GKA,AYGA,Goroka Airport,Goroka,Papua New Guinea,-6.081689834590001,145.391998291
MAG,AYMD,Madang Airport,Madang,Papua New Guinea,-5.20707988739,145.789001465
HGU,AYMH,Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,-5.826789855957031,144.29600524902344
LAE,AYNZ,Nadzab Airport,Nadzab,Papua New Guinea,-6.569803,146.725977
POM,AYPY,Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,-9.44338035583496,147.22000122070312
WWK,AYWK,Wewak International Airport,Wewak,Papua New Guinea,-3.58383011818,143.669006348
UAK,BGBW,Narsarsuaq Airport,Narssarssuaq,Greenland,61.1604995728,-45.4259986877
GOH,BGGH,Godthaab / Nuuk Airport,Godthaab,Greenland,64.19090271,-51.6781005859
SFJ,BGSF,Kangerlussuaq Airport,Sondrestrom,Greenland,67.0122218992,-50.7116031647
THU,BGTL,Thule Air Base,Thule,Greenland,76.5311965942,-68.7032012939
AEY,BIAR,Akureyri Airport,Akureyri,Iceland,65.66000366210938,-18.07270050048828
EGS,BIEG,Egilsstaðir Airport,Egilsstadir,Iceland,65.2833023071289,-14.401399612426758
HFN,BIHN,Hornafjörður Airport,Hofn,Iceland,64.295601,-15.2272
HZK,BIHU,Húsavík Airport,Husavik,Iceland,65.952301,-17.426001
IFJ,BIIS,Ísafjörður Airport,Isafjordur,Iceland,66.05809783935547,-23.135299682617188
KEF,BIKF,Keflavik International Airport,Keflavik,Iceland,63.985000610352,-22.605600357056
PFJ,BIPA,Patreksfjörður Airport,Patreksfjordur,Iceland,65.555801,-23.965
RKV,BIRK,Reykjavik Airport,Reykjavik,Iceland,64.1299972534,-21.9405994415
SIJ,BISI,Siglufjörður Airport,Siglufjordur,Iceland,66.133301,-18.9167
VEY,BIVM,Vestmannaeyjar Airport,Vestmannaeyjar,Iceland,63.42430114746094,-20.27890014648437
YAM,CYAM,Sault Ste Marie Airport,Sault Sainte Marie,Canada,46.48500061035156,-84.5093994140625
YAY,CYAY,St. Anthony Airport,St. Anthony,Canada,51.3918991089,-56.083099365200006
YAZ,CYAZ,Tofino / Long Beach Airport,Tofino,Canada,49.079833,-125.775583
YBB,CYBB,Kugaaruk Airport,Pelly Bay,Canada,68.534401,-89.808098
YBC,CYBC,Baie Comeau Airport,Baie Comeau,Canada,49.13249969482422,-68.20439910888672
YBG,CYBG,CFB Bagotville,Bagotville,Canada,48.33060073852539,-70.99639892578125
YBK,CYBK,Baker Lake Airport,Baker Lake,Canada,64.29889678960001,-96.077796936
YBL,CYBL,Campbell River Airport,Campbell River,Canada,49.950801849365234,-125.27100372314452
YBR,CYBR,Brandon Municipal Airport,Brandon,Canada,49.91,-99.951897
YCB,CYCB,Cambridge Bay Airport,Cambridge Bay,Canada,69.1081008911,-105.138000488
YCD,CYCD,Nanaimo Airport,Nanaimo,Canada,49.0549702249,-123.869862556
YCG,CYCG,Castlegar/West Kootenay Regional Airport,Castlegar,Canada,49.2963981628,-117.632003784
YCH,CYCH,Miramichi Airport,Chatham,Canada,47.007801,-65.449203
YCL,CYCL,Charlo Airport,Charlo,Canada,47.990799,-66.330299
YCO,CYCO,Kugluktuk Airport,Coppermine,Canada,67.816704,-115.143997
YCT,CYCT,Coronation Airport,Coronation,Canada,52.0750007629,-111.444999695
YCW,CYCW,Chilliwack Airport,Chilliwack,Canada,49.1528015137,-121.939002991
YCY,CYCY,Clyde River Airport,Clyde River,Canada,70.4860992432,-68.5167007446
YZS,CYZS,Coral Harbour Airport,Coral Harbour,Canada,64.1932983398,-83.3593978882
YDA,CYDA,Dawson City Airport,Dawson,Canada,64.04309844970703,-139.1280059814453
YDB,CYDB,Burwash Airport,Burwash,Canada,61.37110137939453,-139.04100036621094
YDF,CYDF,Deer Lake Airport,Deer Lake,Canada,49.21080017089844,-57.39139938354492
YDL,CYDL,Dease Lake Airport,Dease Lake,Canada,58.4221992493,-130.031997681
YDN,CYDN,Dauphin Barker Airport,Dauphin,Canada,51.10079956054688,-100.052001953125
YDQ,CYDQ,Dawson Creek Airport,Dawson Creek,Canada,55.7422981262207,-120.18299865722656
YEG,CYEG,Edmonton International Airport,Edmonton,Canada,53.3097000122,-113.580001831
YEK,CYEK,Arviat Airport,Eskimo Point,Canada,61.0942001343,-94.0708007812
YEN,CYEN,Estevan Airport,Estevan,Canada,49.2103004456,-102.966003418
YET,CYET,Edson Airport,Edson,Canada,53.5788993835,-116.464996338
YEU,CYEU,Eureka Airport,Eureka,Canada,79.9946975708,-85.814201355
YEV,CYEV,Inuvik Mike Zubko Airport,Inuvik,Canada,68.30419921880001,-133.483001709
YFB,CYFB,Iqaluit Airport,Iqaluit,Canada,63.756402,-68.555801
YFC,CYFC,Fredericton Airport,Fredericton,Canada,45.868900299072266,-66.53720092773438
YFE,CYFE,Forestville Airport,Forestville,Canada,48.74610137939453,-69.09719848632812
YFO,CYFO,Flin Flon Airport,Flin Flon,Canada,54.6781005859375,-101.68199920654295
YFR,CYFR,Fort Resolution Airport,Fort Resolution,Canada,61.1808013916,-113.690002441
YFS,CYFS,Fort Simpson Airport,Fort Simpson,Canada,61.76020050048828,-121.23699951171876
YGK,CYGK,Kingston Norman Rogers Airport,Kingston,Canada,44.22529983520508,-76.5969009399414
YGL,CYGL,La Grande Rivière Airport,La Grande Riviere,Canada,53.625301361083984,-77.7042007446289
YGP,CYGP,Gaspé (Michel-Pouliot) Airport,Gaspe,Canada,48.7752990723,-64.4785995483
YGQ,CYGQ,Geraldton Greenstone Regional Airport,Geraldton,Canada,49.77830123901367,-86.93939971923828
YGR,CYGR,Îles-de-la-Madeleine Airport,Iles De La Madeleine,Canada,47.42470169067383,-61.778099060058594
YHB,CYHB,Hudson Bay Airport,Hudson Bay,Canada,52.8166999817,-102.310997009
YHD,CYHD,Dryden Regional Airport,Dryden,Canada,49.831699,-92.744202
YHI,CYHI,Ulukhaktok Holman Airport,Holman Island,Canada,70.76280212402344,-117.80599975585938
YHK,CYHK,Gjoa Haven Airport,Gjoa Haven,Canada,68.635597229,-95.8497009277
YHM,CYHM,John C. Munro Hamilton International Airport,Hamilton,Canada,43.1735992432,-79.93499755859999
YHU,CYHU,Montréal / Saint-Hubert Airport,Montreal,Canada,45.5175018311,-73.4169006348
YHY,CYHY,Hay River / Merlyn Carter Airport,Hay River,Canada,60.8396987915,-115.782997131
YHZ,CYHZ,Halifax / Stanfield International Airport,Halifax,Canada,44.8807983398,-63.5085983276
YIB,CYIB,Atikokan Municipal Airport,Atikokan,Canada,48.7738990784,-91.6386032104
YIO,CYIO,Pond Inlet Airport,Pond Inlet,Canada,72.6832962036,-77.9666976929
YJN,CYJN,St Jean Airport,St. Jean,Canada,45.29439926147461,-73.28109741210938
YJT,CYJT,Stephenville Airport,Stephenville,Canada,48.5442008972168,-58.54999923706055
YKA,CYKA,Kamloops Airport,Kamloops,Canada,50.7022018433,-120.444000244
YKF,CYKF,Waterloo Airport,Waterloo,Canada,43.4608001709,-80.3786010742
YKL,CYKL,Schefferville Airport,Schefferville,Canada,54.805301666259766,-66.8052978515625
YKY,CYKY,Kindersley Airport,Kindersley,Canada,51.5175018311,-109.180999756
YKZ,CYKZ,Buttonville Municipal Airport,Toronto,Canada,43.86220169067383,-79.37000274658203
YLD,CYLD,Chapleau Airport,Chapleau,Canada,47.81999969482422,-83.3467025756836
YLJ,CYLJ,Meadow Lake Airport,Meadow Lake,Canada,54.125301361083984,-108.52300262451172
YLL,CYLL,Lloydminster Airport,Lloydminster,Canada,53.309200286865234,-110.072998046875
YLT,CYLT,Alert Airport,Alert,Canada,82.51779937740001,-62.2806015015
YLW,CYLW,Kelowna International Airport,Kelowna,Canada,49.9561004639,-119.377998352
YMA,CYMA,Mayo Airport,Mayo,Canada,63.61640167236328,-135.8679962158203
YMJ,CYMJ,Moose Jaw Air Vice Marshal C. M. McEwen Airport,Moose Jaw,Canada,50.330299377441406,-105.55899810791016
YMM,CYMM,Fort McMurray Airport,Fort Mcmurray,Canada,56.653301239,-111.222000122
YMO,CYMO,Moosonee Airport,Moosonee,Canada,51.29109954833984,-80.60780334472656
YMW,CYMW,Maniwaki Airport,Maniwaki,Canada,46.2728004456,-75.9906005859
YMX,CYMX,Montreal International (Mirabel) Airport,Montreal,Canada,45.679501,-74.038696
YNA,CYNA,Natashquan Airport,Natashquan,Canada,50.18999862670898,-61.78919982910156
YND,CYND,Ottawa / Gatineau Airport,Gatineau,Canada,45.5217018127,-75.5635986328
YNM,CYNM,Matagami Airport,Matagami,Canada,49.76169967651367,-77.80280303955078
YOC,CYOC,Old Crow Airport,Old Crow,Canada,67.57060241699219,-139.83900451660156
YOD,CYOD,CFB Cold Lake,Cold Lake,Canada,54.40499877929688,-110.27899932861328
YOJ,CYOJ,High Level Airport,High Level,Canada,58.62139892578125,-117.16500091552734
YOW,CYOW,Ottawa Macdonald-Cartier International Airport,Ottawa,Canada,45.3224983215332,-75.66919708251953
YPA,CYPA,Prince Albert Glass Field,Prince Albert,Canada,53.2141990662,-105.672996521
YPE,CYPE,Peace River Airport,Peace River,Canada,56.226898,-117.446999
YPG,CYPG,Southport Airport,Portage-la-prairie,Canada,49.903099,-98.273817
YPL,CYPL,Pickle Lake Airport,Pickle Lake,Canada,51.4463996887207,-90.21420288085938
YPN,CYPN,Port Menier Airport,Port Menier,Canada,49.83639907836914,-64.2885971069336
YPQ,CYPQ,Peterborough Airport,Peterborough,Canada,44.22999954223633,-78.36329650878906
YPR,CYPR,Prince Rupert Airport,Prince Pupert,Canada,54.2860984802,-130.445007324
YPY,CYPY,Fort Chipewyan Airport,Fort Chipewyan,Canada,58.7672004699707,-111.11699676513672
YQA,CYQA,Muskoka Airport,Muskoka,Canada,44.974700927734375,-79.30329895019531
YQB,CYQB,Quebec Jean Lesage International Airport,Quebec,Canada,46.7911,-71.393303
YQF,CYQF,Red Deer Regional Airport,Red Deer Industrial,Canada,52.18220138549805,-113.8939971923828
YQG,CYQG,Windsor Airport,Windsor,Canada,42.27560043334961,-82.95559692382812
YQH,CYQH,Watson Lake Airport,Watson Lake,Canada,60.11640167236328,-128.82200622558594
YQK,CYQK,Kenora Airport,Kenora,Canada,49.78829956054688,-94.36309814453124
YQL,CYQL,Lethbridge County Airport,Lethbridge,Canada,49.6302986145,-112.800003052
YQM,CYQM,Greater Moncton International Airport,Moncton,Canada,46.11220169067383,-64.67859649658203
YQQ,CYQQ,Comox Airport,Comox,Canada,49.71080017089844,-124.88700103759766
YQR,CYQR,Regina International Airport,Regina,Canada,50.43190002441406,-104.66600036621094
YQT,CYQT,Thunder Bay Airport,Thunder Bay,Canada,48.37189865112305,-89.32389831542969
YQU,CYQU,Grande Prairie Airport,Grande Prairie,Canada,55.1796989441,-118.885002136
YQV,CYQV,Yorkton Municipal Airport,Yorkton,Canada,51.26470184326172,-102.46199798583984
YQW,CYQW,North Battleford Airport,North Battleford,Canada,52.76919937133789,-108.24400329589844
YQX,CYQX,Gander International Airport,Gander,Canada,48.9369010925293,-54.56809997558594
YQY,CYQY,Sydney / J.A. Douglas McCurdy Airport,Sydney,Canada,46.1614,-60.047798
YQZ,CYQZ,Quesnel Airport,Quesnel,Canada,53.026100158691406,-122.51000213623048
YRB,CYRB,Resolute Bay Airport,Resolute,Canada,74.7169036865,-94.9693984985
YRI,CYRI,Rivière-du-Loup Airport,Riviere Du Loup,Canada,47.76440048217773,-69.58470153808594
YRJ,CYRJ,Roberval Airport,Roberval,Canada,48.52000045776367,-72.2656021118164
YRM,CYRM,Rocky Mountain House Airport,Rocky Mountain House,Canada,52.4296989441,-114.903999329
YRT,CYRT,Rankin Inlet Airport,Rankin Inlet,Canada,62.8114013672,-92.1157989502
YSB,CYSB,Sudbury Airport,Sudbury,Canada,46.625,-80.79889678955078
YSC,CYSC,Sherbrooke Airport,Sherbrooke,Canada,45.4385986328125,-71.69139862060547
YSJ,CYSJ,Saint John Airport,St. John,Canada,45.31610107421875,-65.89029693603516
YSM,CYSM,Fort Smith Airport,Fort Smith,Canada,60.020301818847656,-111.96199798583984
YSR,CYSR,Nanisivik Airport,Nanisivik,Canada,72.982201,-84.613602
YSU,CYSU,Summerside Airport,Summerside,Canada,46.44060134887695,-63.83359909057617
YSY,CYSY,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,Sachs Harbour,Canada,71.9938964844,-125.242996216
YTE,CYTE,Cape Dorset Airport,Cape Dorset,Canada,64.2300033569,-76.5267028809
YTH,CYTH,Thompson Airport,Thompson,Canada,55.80110168457031,-97.86419677734376
YTR,CYTR,CFB Trenton,Trenton,Canada,44.118900299072266,-77.5280990600586
YTS,CYTS,Timmins/Victor M. Power,Timmins,Canada,48.5696983337,-81.376701355
YTZ,CYTZ,Billy Bishop Toronto City Centre Airport,Toronto,Canada,43.627499,-79.396202
YUB,CYUB,Tuktoyaktuk Airport,Tuktoyaktuk,Canada,69.43329620361328,-133.0260009765625
YUL,CYUL,Montreal / Pierre Elliott Trudeau International Airport,Montreal,Canada,45.4706001282,-73.7407989502
YUT,CYUT,Repulse Bay Airport,Repulse Bay,Canada,66.5214004517,-86.22470092770001
YUX,CYUX,Hall Beach Airport,Hall Beach,Canada,68.77610015869999,-81.2425
YUY,CYUY,Rouyn Noranda Airport,Rouyn,Canada,48.20610046386719,-78.83560180664062
YVC,CYVC,La Ronge Airport,La Ronge,Canada,55.1514015198,-105.262001038
YVG,CYVG,Vermilion Airport,Vermillion,Canada,53.3558006287,-110.823997498
YVM,CYVM,Qikiqtarjuaq Airport,Broughton Island,Canada,67.5457992554,-64.03140258789999
YVO,CYVO,Val-d'Or Airport,Val D'or,Canada,48.0532989502,-77.7827987671
YVP,CYVP,Kuujjuaq Airport,Quujjuaq,Canada,58.096099853515625,-68.4269027709961
YVQ,CYVQ,Norman Wells Airport,Norman Wells,Canada,65.28160095214844,-126.7979965209961
YVR,CYVR,Vancouver International Airport,Vancouver,Canada,49.193901062,-123.183998108
YVT,CYVT,Buffalo Narrows Airport,Buffalo Narrows,Canada,55.8418998718,-108.417999268
YVV,CYVV,Wiarton Airport,Wiarton,Canada,44.7458,-81.107201
YWA,CYWA,Petawawa Airport,Petawawa,Canada,45.95220184326172,-77.31919860839844
YWG,CYWG,Winnipeg / James Armstrong Richardson International Airport,Winnipeg,Canada,49.9099998474,-97.2398986816
YWK,CYWK,Wabush Airport,Wabush,Canada,52.92190170288086,-66.8644027709961
YWL,CYWL,Williams Lake Airport,Williams Lake,Canada,52.1831016541,-122.054000854
YWY,CYWY,Wrigley Airport,Wrigley,Canada,63.20940017700195,-123.43699645996094
YXC,CYXC,Cranbrook/Canadian Rockies International Airport,Cranbrook,Canada,49.610801696777,-115.78199768066
YXD,CYXD,Edmonton City Centre (Blatchford Field) Airport,Edmonton,Canada,53.5724983215,-113.521003723
YXE,CYXE,Saskatoon John G. Diefenbaker International Airport,Saskatoon,Canada,52.17079925537109,-106.6999969482422
YXH,CYXH,Medicine Hat Airport,Medicine Hat,Canada,50.01890182495117,-110.72100067138672
YXJ,CYXJ,Fort St John Airport,Fort Saint John,Canada,56.23809814453125,-120.73999786376952
YXL,CYXL,Sioux Lookout Airport,Sioux Lookout,Canada,50.11389923095703,-91.9052963256836
YXP,CYXP,Pangnirtung Airport,Pangnirtung,Canada,66.1449966431,-65.71360015869999
YXR,CYXR,Earlton (Timiskaming Regional) Airport,Earlton,Canada,47.6974006546,-79.8473453522
YXS,CYXS,Prince George Airport,Prince George,Canada,53.8894004822,-122.679000854
YXT,CYXT,Northwest Regional Airport Terrace-Kitimat,Terrace,Canada,54.468498,-128.576009
YXU,CYXU,London Airport,London,Canada,43.035599,-81.1539
YXX,CYXX,Abbotsford Airport,Abbotsford,Canada,49.025299072265625,-122.36100006103516
YXY,CYXY,Whitehorse / Erik Nielsen International Airport,Whitehorse,Canada,60.7095985413,-135.067001343
YYB,CYYB,North Bay Jack Garland Airport,North Bay,Canada,46.363602,-79.422798
YYC,CYYC,Calgary International Airport,Calgary,Canada,51.113899231,-114.019996643
YYD,CYYD,Smithers Airport,Smithers,Canada,54.82469940185547,-127.18299865722656
YYE,CYYE,Fort Nelson Airport,Fort Nelson,Canada,58.8363990784,-122.597000122
YYF,CYYF,Penticton Airport,Penticton,Canada,49.46310043334961,-119.60199737548828
YYG,CYYG,Charlottetown Airport,Charlottetown,Canada,46.290000915527344,-63.12110137939453
YYH,CYYH,Taloyoak Airport,Spence Bay,Canada,69.5466995239,-93.5766983032
YYJ,CYYJ,Victoria International Airport,Victoria,Canada,48.646900177,-123.426002502
YYL,CYYL,Lynn Lake Airport,Lynn Lake,Canada,56.86389923095703,-101.07599639892578
YYN,CYYN,Swift Current Airport,Swift Current,Canada,50.2919006348,-107.691001892
YYQ,CYYQ,Churchill Airport,Churchill,Canada,58.739200592041016,-94.06500244140624
YYR,CYYR,Goose Bay Airport,Goose Bay,Canada,53.3191986084,-60.4258003235
YYT,CYYT,St. John's International Airport,St. John's,Canada,47.618598938,-52.7518997192
YYU,CYYU,Kapuskasing Airport,Kapuskasing,Canada,49.41389846801758,-82.46749877929688
YYW,CYYW,Armstrong Airport,Armstrong,Canada,50.29029846191406,-88.90969848632812
YYY,CYYY,Mont Joli Airport,Mont Joli,Canada,48.60860061645508,-68.20809936523438
YYZ,CYYZ,Lester B. Pearson International Airport,Toronto,Canada,43.6772003174,-79.63059997559999
YZD,CYZD,Downsview Airport,Toronto,Canada,43.74250030517578,-79.4655990600586
YZE,CYZE,Gore Bay Manitoulin Airport,Gore Bay,Canada,45.88529968261719,-82.56780242919922
YZF,CYZF,Yellowknife Airport,Yellowknife,Canada,62.462799072265625,-114.44000244140624
YZH,CYZH,Slave Lake Airport,Slave Lake,Canada,55.2930984497,-114.777000427
YZP,CYZP,Sandspit Airport,Sandspit,Canada,53.25429916379999,-131.813995361
YZR,CYZR,Chris Hadfield Airport,Sarnia,Canada,42.9994010925293,-82.30889892578125
YZT,CYZT,Port Hardy Airport,Port Hardy,Canada,50.68059921264648,-127.36699676513672
YZU,CYZU,Whitecourt Airport,Whitecourt,Canada,54.14390182495117,-115.78700256347656
